"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","REST API Тестирование","0","Управление товарами","11","0","Создание товаров","0"
"0","REST API Тестирование","0","Управление товарами","1","0","Комплексные тесты","0"
"0","REST API Тестирование","0","Управление товарами","6","0","Обновление товаров","0"
"0","REST API Тестирование","0","Управление товарами","1","0","Производительность","0"
"0","REST API Тестирование","0","Управление товарами","1","0","Фильтрация","0"
"0","REST API Тестирование","0","Управление товарами","1","0","Пагинация","0"
"0","REST API Тестирование","0","Управление товарами","3","0","Получение товаров","0"
"0","REST API Тестирование","0","Управление товарами","1","0","Удаление товаров","0"
